control,T,sigmaloc,L,recall,x_sigLk,pred_binom
diffuse,2,0.50095,75,99.956,3.7571,100.000
diffuse,2,0.50095,150,99.995,7.5142,100.000
diffuse,2,0.50095,300,99.997,15.0285,100.000
diffuse,2,0.50095,600,99.998,30.0570,100.000
diffuse,2,0.50095,1000,99.998,50.0950,100.000
diffuse,3,0.33352,75,99.910,2.5014,100.000
diffuse,3,0.33352,150,99.989,5.0028,100.000
diffuse,3,0.33352,300,99.995,10.0056,100.000
diffuse,3,0.33352,600,99.997,20.0112,100.000
diffuse,3,0.33352,1000,99.998,33.3520,100.000
diffuse,6,0.16750,75,95.415,1.2563,99.856
diffuse,6,0.16750,150,99.966,2.5125,100.000
diffuse,6,0.16750,300,99.994,5.0250,100.000
diffuse,6,0.16750,600,99.997,10.0500,100.000
diffuse,6,0.16750,1000,99.998,16.7500,100.000
diffuse,12,0.08383,75,61.865,0.6287,60.807
diffuse,12,0.08383,150,95.274,1.2574,99.783
diffuse,12,0.08383,300,99.984,2.5149,100.000
diffuse,12,0.08383,600,99.996,5.0298,100.000
diffuse,12,0.08383,1000,99.995,8.3830,100.000
diffuse,24,0.04168,75,31.360,0.3126,3.671
diffuse,24,0.04168,150,61.541,0.6252,59.195
diffuse,24,0.04168,300,95.287,1.2504,99.732
diffuse,24,0.04168,600,99.993,2.5008,100.000
diffuse,24,0.04168,1000,100.000,4.1680,100.000
diffuse,48,0.02077,75,15.627,0.1558,0.030
diffuse,48,0.02077,150,31.059,0.3115,3.684
diffuse,48,0.02077,300,61.029,0.6231,58.845
diffuse,48,0.02077,600,95.401,1.2462,99.698
diffuse,48,0.02077,1000,99.938,2.0770,100.000
diffuse,96,0.01033,75,7.753,0.0775,0.000
diffuse,96,0.01033,150,15.512,0.1550,0.031
diffuse,96,0.01033,300,30.982,0.3099,3.698
diffuse,96,0.01033,600,61.407,0.6198,58.095
diffuse,96,0.01033,1000,89.991,1.0330,97.672
clustered,6,0.51053,75,97.775,3.8290,100.000
clustered,6,0.51053,150,99.467,7.6580,100.000
clustered,6,0.51053,300,99.837,15.3159,100.000
clustered,6,0.51053,600,99.935,30.6318,100.000
clustered,6,0.51053,1000,99.965,51.0530,100.000
clustered,24,0.16779,75,73.545,1.2584,99.860
clustered,24,0.16779,150,92.300,2.5168,100.000
clustered,24,0.16779,300,98.705,5.0337,100.000
clustered,24,0.16779,600,99.828,10.0674,100.000
clustered,24,0.16779,1000,99.961,16.7790,100.000
clustered,96,0.04702,75,29.184,0.3527,7.090
clustered,96,0.04702,150,47.169,0.7053,73.728
clustered,96,0.04702,300,71.610,1.4106,99.952
clustered,96,0.04702,600,92.796,2.8212,100.000
clustered,96,0.04702,1000,98.867,4.7020,100.000
