control,T,sigmaloc,L,recall
diffuse,2,0.50095,75,99.956
diffuse,2,0.50095,150,99.995
diffuse,2,0.50095,300,99.997
diffuse,2,0.50095,600,99.998
diffuse,2,0.50095,1000,99.998
diffuse,3,0.33352,75,99.910
diffuse,3,0.33352,150,99.989
diffuse,3,0.33352,300,99.995
diffuse,3,0.33352,600,99.997
diffuse,3,0.33352,1000,99.998
diffuse,6,0.16750,75,95.415
diffuse,6,0.16750,150,99.966
diffuse,6,0.16750,300,99.994
diffuse,6,0.16750,600,99.997
diffuse,6,0.16750,1000,99.998
diffuse,12,0.08383,75,61.865
diffuse,12,0.08383,150,95.274
diffuse,12,0.08383,300,99.984
diffuse,12,0.08383,600,99.996
diffuse,12,0.08383,1000,99.995
diffuse,24,0.04168,75,31.360
diffuse,24,0.04168,150,61.541
diffuse,24,0.04168,300,95.287
diffuse,24,0.04168,600,99.993
diffuse,24,0.04168,1000,100.000
diffuse,48,0.02077,75,15.627
diffuse,48,0.02077,150,31.059
diffuse,48,0.02077,300,61.029
diffuse,48,0.02077,600,95.401
diffuse,48,0.02077,1000,99.938
diffuse,96,0.01033,75,7.753
diffuse,96,0.01033,150,15.512
diffuse,96,0.01033,300,30.982
diffuse,96,0.01033,600,61.407
diffuse,96,0.01033,1000,89.991
clustered,6,0.51053,75,97.775
clustered,6,0.51053,150,99.467
clustered,6,0.51053,300,99.837
clustered,6,0.51053,600,99.935
clustered,6,0.51053,1000,99.965
clustered,24,0.16779,75,73.545
clustered,24,0.16779,150,92.300
clustered,24,0.16779,300,98.705
clustered,24,0.16779,600,99.828
clustered,24,0.16779,1000,99.961
clustered,96,0.04702,75,29.184
clustered,96,0.04702,150,47.169
clustered,96,0.04702,300,71.610
clustered,96,0.04702,600,92.796
clustered,96,0.04702,1000,98.867
