T,L,measured,h_mean,h_qavg,deficit_pp,absorbed
6,75,97.775,100.000,97.868,2.225,0.9583
6,150,99.467,100.000,99.377,0.533,1.1686
6,300,99.837,100.000,99.771,0.163,1.4052
6,600,99.935,100.000,99.882,0.065,1.8089
6,1000,99.965,100.000,99.917,0.035,2.3576
24,75,73.545,99.843,68.340,26.298,1.1979
24,150,92.300,100.000,90.254,7.700,1.2657
24,300,98.705,100.000,97.085,1.295,2.2512
24,600,99.828,100.000,98.954,0.172,6.0803
24,1000,99.961,100.000,99.482,0.039,13.2756
96,75,29.184,6.793,14.850,-22.391,0.3598
96,150,47.169,73.721,36.387,26.552,1.4061
96,300,71.610,99.950,63.481,28.340,1.2868
96,600,92.796,100.000,82.027,7.204,2.4949
96,1000,98.867,100.000,89.762,1.133,9.0362
